tripminutes,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start hour,start day,weekday,day,age,tripminutes
4,257,2020-03-01 08:26:30.023,2020-03-01 08:30:47.582,3203,Hamilton Park,40.727595965999996,-74.044247311,3273,Manila & 1st,40.72165072487999,-74.04288411140442,42580,Subscriber,1988,1,8,1,6,Weekend,32,4
4,278,2020-03-01 08:40:57.254,2020-03-01 08:45:35.453,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,3273,Manila & 1st,40.72165072487999,-74.04288411140442,42490,Subscriber,1988,2,8,1,6,Weekend,32,4
4,242,2020-03-01 08:48:11.032,2020-03-01 08:52:13.313,3203,Hamilton Park,40.727595965999996,-74.044247311,3273,Manila & 1st,40.72165072487999,-74.04288411140442,42595,Subscriber,1983,1,8,1,6,Weekend,37,4
5,319,2020-03-01 08:48:13.013,2020-03-01 08:53:32.177,3280,Astor Place,40.71928220070703,-74.07126188278198,3195,Sip Ave,40.73089709786179,-74.06391263008119,42235,Subscriber,1988,1,8,1,6,Weekend,32,5
2,160,2020-03-01 08:49:54.159,2020-03-01 08:52:34.553,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42368,Subscriber,1969,0,8,1,6,Weekend,51,2
3,192,2020-03-01 08:51:16.546,2020-03-01 08:54:29.527,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42298,Subscriber,1984,1,8,1,6,Weekend,36,3
4,290,2020-03-01 08:57:19.427,2020-03-01 09:02:10.093,3639,Harborside,40.71925170000001,-74.034234,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42550,Subscriber,1963,1,8,1,6,Weekend,57,4
3,208,2020-03-01 08:59:29.420,2020-03-01 09:02:57.791,3195,Sip Ave,40.73089709786179,-74.06391263008119,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,42235,Subscriber,1980,0,8,1,6,Weekend,40,3
8,523,2020-03-01 08:59:43.295,2020-03-01 09:08:27.131,3638,Washington St,40.7242941,-74.0354826,3483,Montgomery St,40.71942,-74.05099,42247,Subscriber,1992,1,8,1,6,Weekend,28,8
9,574,2020-03-01 09:01:32.159,2020-03-01 09:11:06.565,3196,Riverview Park,40.7443187,-74.04399090000001,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,42232,Subscriber,1968,1,9,1,6,Weekend,52,9
5,315,2020-03-01 09:07:11.823,2020-03-01 09:12:26.834,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,42312,Subscriber,1983,1,9,1,6,Weekend,37,5
3,184,2020-03-01 09:10:53.095,2020-03-01 09:13:58.068,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,3211,Newark Ave,40.72152515,-74.046304543,42227,Subscriber,1976,2,9,1,6,Weekend,44,3
4,262,2020-03-01 09:16:01.095,2020-03-01 09:20:23.766,3638,Washington St,40.7242941,-74.0354826,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42350,Subscriber,1991,1,9,1,6,Weekend,29,4
23,1416,2020-03-01 09:17:54.353,2020-03-01 09:41:30.766,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42143,Subscriber,1989,1,9,1,6,Weekend,31,23
2,144,2020-03-01 09:18:14.990,2020-03-01 09:20:39.739,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42270,Subscriber,1977,1,9,1,6,Weekend,43,2
4,269,2020-03-01 09:18:15.156,2020-03-01 09:22:44.625,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,3273,Manila & 1st,40.72165072487999,-74.04288411140442,42520,Subscriber,1989,2,9,1,6,Weekend,31,4
23,1400,2020-03-01 09:18:17.560,2020-03-01 09:41:38.394,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42429,Customer,1969,0,9,1,6,Weekend,51,23
10,649,2020-03-01 09:20:24.009,2020-03-01 09:31:13.294,3681,Grand St,40.71517767732029,-74.03768330812454,3203,Hamilton Park,40.727595965999996,-74.044247311,42192,Subscriber,1993,1,9,1,6,Weekend,27,10
9,567,2020-03-01 09:20:28.945,2020-03-01 09:29:56.173,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3220,5 Corners Library,40.73496102000952,-74.05950307846071,42582,Subscriber,1970,1,9,1,6,Weekend,50,9
7,450,2020-03-01 09:22:37.743,2020-03-01 09:30:07.804,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3273,Manila & 1st,40.72165072487999,-74.04288411140442,42115,Customer,1995,2,9,1,6,Weekend,25,7
1,113,2020-03-01 09:24:06.797,2020-03-01 09:26:00.795,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42314,Subscriber,1994,1,9,1,6,Weekend,26,1
7,457,2020-03-01 09:24:07.159,2020-03-01 09:31:44.556,3639,Harborside,40.71925170000001,-74.034234,3203,Hamilton Park,40.727595965999996,-74.044247311,42381,Subscriber,1970,2,9,1,6,Weekend,50,7
